city,aqi,date,pollutant
Agartala,81,8-Aug-26,PM10
Agra,49,8-Aug-26,"SO2, PM10"
Ahmedabad,83,8-Aug-26,PM10
Ahmednagar,42,8-Aug-26,PM10
Aizawl,15,8-Aug-26,PM10
Akola,42,8-Aug-26,PM10
Alwar,80,8-Aug-26,PM10
Amaravati,85,8-Aug-26,PM10
Ambala,85,8-Aug-26,PM10
Ambernath,89,8-Aug-26,PM10
Amravati,65,8-Aug-26,PM10
Amritsar,58,8-Aug-26,PM10
Anantapur,68,8-Aug-26,PM10
Angul,62,8-Aug-26,O3
Ankleshwar,64,8-Aug-26,PM10
Arrah,51,8-Aug-26,CO
Asansol,55,8-Aug-26,"SO2, CO"
Aurangabad (Maharashtra),51,8-Aug-26,PM10
Baddi,94,8-Aug-26,CO
Badlapur,37,8-Aug-26,CO
Baghpat,50,8-Aug-26,PM10
Bahadurgarh,48,8-Aug-26,PM10
Balasore,42,8-Aug-26,CO
Ballabgarh,36,8-Aug-26,PM10
Banswara,67,8-Aug-26,PM10
Baran,87,8-Aug-26,PM10
Barbil,43,8-Aug-26,PM2.5
Bareilly,56,8-Aug-26,"O3, SO2"
Baripada,47,8-Aug-26,O3
Barmer,88,8-Aug-26,PM10
Barrackpore,41,8-Aug-26,CO
Bathinda,43,8-Aug-26,PM10
Beed,44,8-Aug-26,PM10
Begusarai,83,8-Aug-26,PM10
Belapur,22,8-Aug-26,CO
Belgaum,48,8-Aug-26,NO2
Bengaluru,49,8-Aug-26,PM10
Bettiah,28,8-Aug-26,NO2
Bhagalpur,54,8-Aug-26,"SO2, PM10"
Bharatpur,32,8-Aug-26,O3
Bhavnagar,62,8-Aug-26,PM10
Bhilai,28,8-Aug-26,"PM10, CO"
Bhilwara,122,8-Aug-26,PM10
Bhiwadi,74,8-Aug-26,"PM2.5, PM10"
Bhiwandi,54,8-Aug-26,O3
Bhopal,87,8-Aug-26,PM10
Bhubaneswar,36,8-Aug-26,"CO, O3"
Bikaner,93,8-Aug-26,PM10
Bilaspur,35,8-Aug-26,CO
Boisar,50,8-Aug-26,PM10
Bulandshahr,32,8-Aug-26,O3
Bundi,87,8-Aug-26,PM10
Byrnihat (Assam),106,8-Aug-26,PM2.5
Byrnihat (Meghalaya),158,8-Aug-26,PM2.5
Chamarajanagar,45,8-Aug-26,PM10
Chandigarh,42,8-Aug-26,"CO, PM10"
Chandrapur,76,8-Aug-26,PM10
Charkhi dadri,55,8-Aug-26,PM2.5
Chennai,79,8-Aug-26,PM10
Chhal,29,8-Aug-26,CO
Chikkaballapur,24,8-Aug-26,SO2
Chikkamagaluru,33,8-Aug-26,PM10
Chittoor,60,8-Aug-26,PM10
Chittorgarh,88,8-Aug-26,PM10
Churu,47,8-Aug-26,O3
Coimbatore,26,8-Aug-26,SO2
Cuttack,59,8-Aug-26,CO
Damoh,51,8-Aug-26,SO2
Dausa,65,8-Aug-26,PM10
Dehradun,42,8-Aug-26,PM10
Delhi,63,8-Aug-26,"PM2.5, NO2"
Dewas,81,8-Aug-26,PM10
Dharuhera,53,8-Aug-26,PM2.5
Dharwad,63,8-Aug-26,PM10
Dholpur,33,8-Aug-26,CO
Dhule,60,8-Aug-26,PM10
Dombivli,35,8-Aug-26,O3
Dungarpur,76,8-Aug-26,PM10
Durgapur,58,8-Aug-26,"NO2, PM10"
Eloor,64,8-Aug-26,PM10
Eluru,52,8-Aug-26,PM2.5
Faridabad,93,8-Aug-26,"PM2.5, PM10"
Fatehabad,48,8-Aug-26,CO
Fatehpur sikri,29,8-Aug-26,PM10
Firozabad,35,8-Aug-26,PM10
Gadag,105,8-Aug-26,PM10
Gajraula,42,8-Aug-26,PM10
Gandhinagar,92,8-Aug-26,PM10
Gaya,48,8-Aug-26,PM10
Ghaziabad,54,8-Aug-26,"CO, PM10"
Gorakhpur,120,8-Aug-26,PM10
Greater noida,142,8-Aug-26,O3
Gummidipoondi,126,8-Aug-26,PM2.5
Guntur,49,8-Aug-26,PM10
Gurugram,87,8-Aug-26,"PM2.5, PM10"
Guwahati,32,8-Aug-26,"PM2.5, SO2"
Gwalior,49,8-Aug-26,"CO, O3, NO2"
Hajipur,40,8-Aug-26,O3
Haldia,26,8-Aug-26,O3
Hanumangarh,39,8-Aug-26,CO
Hapur,47,8-Aug-26,CO
Hingoli,319,8-Aug-26,O3
Hisar,32,8-Aug-26,PM10
Howrah,45,8-Aug-26,"CO, NO2"
Hyderabad,46,8-Aug-26,PM10
Indore,58,8-Aug-26,PM10
Jabalpur,57,8-Aug-26,"CO, PM10"
Jaipur,75,8-Aug-26,"CO, PM10"
Jaisalmer,102,8-Aug-26,PM10
Jalandhar,41,8-Aug-26,PM2.5
Jalgaon,43,8-Aug-26,PM10
Jalna,39,8-Aug-26,PM10
Jalore,88,8-Aug-26,PM10
Jhalawar,76,8-Aug-26,PM10
Jhansi,55,8-Aug-26,PM10
Jhunjhunu,63,8-Aug-26,O3
Jind,51,8-Aug-26,PM2.5
Jodhpur,84,8-Aug-26,PM10
Jorapokhar,67,8-Aug-26,PM10
Kaithal,70,8-Aug-26,SO2
Kakinada,66,8-Aug-26,PM10
Kalaburagi,32,8-Aug-26,CO
Kalyan,80,8-Aug-26,"PM10, PM2.5"
Kannur,54,8-Aug-26,PM2.5
Kanpur,64,8-Aug-26,"PM2.5, CO"
Karauli,39,8-Aug-26,NO2
Karnal,48,8-Aug-26,CO
Karwar,59,8-Aug-26,PM10
Katni,74,8-Aug-26,PM10
Khairthal,73,8-Aug-26,PM10
Khanna,70,8-Aug-26,PM10
Khora,76,8-Aug-26,PM2.5
Khurja,53,8-Aug-26,CO
Kishanganj,50,8-Aug-26,PM2.5
Kohima,56,8-Aug-26,SO2
Kolhapur,31,8-Aug-26,PM10
Kolkata,51,8-Aug-26,"O3, PM10, CO"
Korba,26,8-Aug-26,CO
Kota,95,8-Aug-26,PM10
Kunjemura,27,8-Aug-26,PM10
Kurnool,33,8-Aug-26,PM10
Kurukshetra,52,8-Aug-26,PM2.5
Latur,47,8-Aug-26,PM10
Lucknow,72,8-Aug-26,"PM10, PM2.5"
Ludhiana,80,8-Aug-26,PM2.5
Machilipatnam,65,8-Aug-26,PM10
Madikeri,14,8-Aug-26,CO
Mahad,38,8-Aug-26,PM10
Maihar,29,8-Aug-26,CO
Malegaon,57,8-Aug-26,PM10
Mandideep,101,8-Aug-26,PM10
Mandi gobindgarh,118,8-Aug-26,PM10
Manesar,41,8-Aug-26,NO2
Manguraha,73,8-Aug-26,PM10
Mathura,42,8-Aug-26,PM2.5
Meerut,57,8-Aug-26,"PM2.5, PM10"
Mehsana,72,8-Aug-26,PM10
Milupara,36,8-Aug-26,NO2
Mira-bhayandar,31,8-Aug-26,PM10
Modinagar,22,8-Aug-26,PM2.5
Moradabad,42,8-Aug-26,"SO2, PM2.5, CO"
Mumbai,43,8-Aug-26,PM10
Munger,45,8-Aug-26,PM2.5
Muzaffarnagar,35,8-Aug-26,PM2.5
Muzaffarpur,39,8-Aug-26,"PM10, O3"
Mysuru,48,8-Aug-26,PM10
Nagaon,62,8-Aug-26,PM2.5
Nagaur,95,8-Aug-26,PM10
Nagpur,54,8-Aug-26,PM10
Naharlagun,28,8-Aug-26,PM10
Nalbari,59,8-Aug-26,PM2.5
Nanded,39,8-Aug-26,PM10
Nandesari,69,8-Aug-26,PM10
Narnaul,59,8-Aug-26,PM10
Nashik,45,8-Aug-26,PM10
Navi mumbai,39,8-Aug-26,"CO, PM10"
Nellore,56,8-Aug-26,PM10
Noida,55,8-Aug-26,"PM10, CO, PM2.5"
Pali,134,8-Aug-26,PM2.5
Palwal,110,8-Aug-26,CO
Pampore,45,8-Aug-26,PM10
Panchgaon,33,8-Aug-26,CO
Panchkula,35,8-Aug-26,O3
Panipat,119,8-Aug-26,PM10
Parbhani,27,8-Aug-26,NO2
Patiala,44,8-Aug-26,PM10
Patna,66,8-Aug-26,"PM2.5, O3"
Pimpri-chinchwad,55,8-Aug-26,PM10
Pithampur,128,8-Aug-26,PM10
Pratapgarh,82,8-Aug-26,PM10
Prayagraj,35,8-Aug-26,PM10
Puducherry,43,8-Aug-26,O3
Pune,52,8-Aug-26,PM10
Purnia,56,8-Aug-26,CO
Raebareli,66,8-Aug-26,"CO, PM10"
Raipur,43,8-Aug-26,PM10
Rairangpur,31,8-Aug-26,PM10
Rajamahendravaram,65,8-Aug-26,PM10
Rajkot,72,8-Aug-26,PM10
Rajsamand,91,8-Aug-26,PM10
Ramanagara,48,8-Aug-26,PM10
Ratlam,43,8-Aug-26,PM2.5
Rishikesh,37,8-Aug-26,CO
Rohtak,52,8-Aug-26,CO
Rourkela,48,8-Aug-26,"PM10, CO"
Sagar,36,8-Aug-26,O3
Saharsa,46,8-Aug-26,PM10
Samastipur,104,8-Aug-26,PM2.5
Sangli,42,8-Aug-26,PM10
Satara,58,8-Aug-26,PM10
Satna,70,8-Aug-26,PM10
Sawai madhopur,78,8-Aug-26,PM10
Shamli,87,8-Aug-26,CO
Shillong,32,8-Aug-26,O3
Shivamogga,39,8-Aug-26,PM10
Sikar,43,8-Aug-26,PM10
Silchar,55,8-Aug-26,PM10
Siliguri,118,8-Aug-26,NO2
Singrauli,39,8-Aug-26,SO2
Sirohi,71,8-Aug-26,PM10
Sirsa,81,8-Aug-26,CO
Siwan,105,8-Aug-26,PM10
Solapur,42,8-Aug-26,"PM10, O3"
Sonipat,103,8-Aug-26,PM10
Sri ganganagar,83,8-Aug-26,NO2
Srinagar,40,8-Aug-26,PM10
Surat,56,8-Aug-26,PM10
Talcher,87,8-Aug-26,SO2
Tensa,77,8-Aug-26,O3
Thane,41,8-Aug-26,PM10
Thiruvananthapuram,40,8-Aug-26,PM10
Thoothukudi,67,8-Aug-26,PM10
Thrissur,42,8-Aug-26,PM10
Tirumala,43,8-Aug-26,NO2
Tirupati,55,8-Aug-26,PM10
Tonk,109,8-Aug-26,PM10
Udaipur,109,8-Aug-26,PM10
Ujjain,71,8-Aug-26,PM10
Ulhasnagar,42,8-Aug-26,PM10
Vadodara,75,8-Aug-26,PM10
Vapi,44,8-Aug-26,PM10
Varanasi,66,8-Aug-26,"PM2.5, PM10"
Vatva,121,8-Aug-26,PM10
Virar,31,8-Aug-26,PM10
Visakhapatnam,103,8-Aug-26,PM10
Vrindavan,36,8-Aug-26,PM10
Yadgir,43,8-Aug-26,PM10
Yamuna nagar,87,8-Aug-26,PM10
Agartala,61,7-Aug-26,
Agra,54,7-Aug-26,
Ahmedabad,92,7-Aug-26,
Ahmednagar,48,7-Aug-26,
Aizawl,14,7-Aug-26,
Akola,42,7-Aug-26,
Alwar,94,7-Aug-26,
Amaravati,53,7-Aug-26,
Ambala,97,7-Aug-26,
Ambernath,87,7-Aug-26,
Amravati,48,7-Aug-26,
Amritsar,77,7-Aug-26,
Anantapur,71,7-Aug-26,
Angul,64,7-Aug-26,
Ankleshwar,65,7-Aug-26,
Araria,43,7-Aug-26,
Arrah,48,7-Aug-26,
Asansol,61,7-Aug-26,
Aurangabad (Maharashtra),49,7-Aug-26,
Baddi,98,7-Aug-26,
Badlapur,26,7-Aug-26,
Bagalkot,51,7-Aug-26,
Baghpat,32,7-Aug-26,
Bahadurgarh,48,7-Aug-26,
Balasore,54,7-Aug-26,
Ballabgarh,41,7-Aug-26,
Banswara,64,7-Aug-26,
Baran,45,7-Aug-26,
Barbil,34,7-Aug-26,
Bareilly,34,7-Aug-26,
Baripada,44,7-Aug-26,
Barmer,91,7-Aug-26,
Barrackpore,48,7-Aug-26,
Bathinda,88,7-Aug-26,
Beed,42,7-Aug-26,
Begusarai,104,7-Aug-26,
Belapur,20,7-Aug-26,
Bengaluru,51,7-Aug-26,
Bettiah,26,7-Aug-26,
Bhagalpur,99,7-Aug-26,
Bharatpur,27,7-Aug-26,
Bhavnagar,63,7-Aug-26,
Bhilai,30,7-Aug-26,
Bhilwara,123,7-Aug-26,
Bhiwadi,73,7-Aug-26,
Bhiwandi,42,7-Aug-26,
Bhiwani,157,7-Aug-26,
Bhopal,77,7-Aug-26,
Bhubaneswar,43,7-Aug-26,
Bilaspur,41,7-Aug-26,
Bileipada,68,7-Aug-26,
Boisar,52,7-Aug-26,
Brajrajnagar,44,7-Aug-26,
Bulandshahr,38,7-Aug-26,
Bundi,72,7-Aug-26,
Byrnihat (Assam),86,7-Aug-26,
Byrnihat (Meghalaya),181,7-Aug-26,
Chamarajanagar,43,7-Aug-26,
Chandigarh,21,7-Aug-26,
Chandrapur,53,7-Aug-26,
Charkhi dadri,149,7-Aug-26,
Chennai,128,7-Aug-26,
Chhapra,85,7-Aug-26,
Chikkamagaluru,27,7-Aug-26,
Chittoor,72,7-Aug-26,
Chittorgarh,83,7-Aug-26,
Churu,75,7-Aug-26,
Cuttack,53,7-Aug-26,
Damoh,50,7-Aug-26,
Dausa,42,7-Aug-26,
Delhi,63,7-Aug-26,
Dewas,84,7-Aug-26,
Dharuhera,72,7-Aug-26,
Dharwad,59,7-Aug-26,
Dholpur,31,7-Aug-26,
Dhule,67,7-Aug-26,
Dombivli,36,7-Aug-26,
Dungarpur,78,7-Aug-26,
Durgapur,92,7-Aug-26,
Eloor,81,7-Aug-26,
Eluru,154,7-Aug-26,
Faridabad,86,7-Aug-26,
Fatehabad,58,7-Aug-26,
Fatehpur sikri,29,7-Aug-26,
Firozabad,34,7-Aug-26,
Gadag,39,7-Aug-26,
Gajraula,28,7-Aug-26,
Gandhinagar,97,7-Aug-26,
Gaya,30,7-Aug-26,
Ghaziabad,60,7-Aug-26,
Gorakhpur,74,7-Aug-26,
Greater noida,87,7-Aug-26,
Gummidipoondi,150,7-Aug-26,
Guntur,63,7-Aug-26,
Gurugram,77,7-Aug-26,
Guwahati,39,7-Aug-26,
Gwalior,54,7-Aug-26,
Hajipur,50,7-Aug-26,
Haldia,29,7-Aug-26,
Hanumangarh,63,7-Aug-26,
Hapur,52,7-Aug-26,
Hingoli,187,7-Aug-26,
Hisar,53,7-Aug-26,
Howrah,52,7-Aug-26,
Hyderabad,45,7-Aug-26,
Indore,58,7-Aug-26,
Jabalpur,63,7-Aug-26,
Jaipur,90,7-Aug-26,
Jaisalmer,117,7-Aug-26,
Jalandhar,62,7-Aug-26,
Jalgaon,51,7-Aug-26,
Jalna,52,7-Aug-26,
Jalore,104,7-Aug-26,
Jhalawar,70,7-Aug-26,
Jhansi,44,7-Aug-26,
Jhunjhunu,83,7-Aug-26,
Jind,47,7-Aug-26,
Jodhpur,91,7-Aug-26,
Jorapokhar,59,7-Aug-26,
Kadapa,57,7-Aug-26,
Kaithal,101,7-Aug-26,
Kakinada,45,7-Aug-26,
Kalaburagi,34,7-Aug-26,
Kalyan,73,7-Aug-26,
Kannur,67,7-Aug-26,
Kanpur,55,7-Aug-26,
Karauli,35,7-Aug-26,
Karnal,46,7-Aug-26,
Karwar,52,7-Aug-26,
Katni,57,7-Aug-26,
Keonjhar,38,7-Aug-26,
Khairthal,131,7-Aug-26,
Khanna,70,7-Aug-26,
Khora,80,7-Aug-26,
Kohima,59,7-Aug-26,
Kolhapur,29,7-Aug-26,
Kolkata,49,7-Aug-26,
Korba,28,7-Aug-26,
Kota,73,7-Aug-26,
Kunjemura,26,7-Aug-26,
Kurnool,28,7-Aug-26,
Kurukshetra,47,7-Aug-26,
Latur,38,7-Aug-26,
Lucknow,49,7-Aug-26,
Machilipatnam,61,7-Aug-26,
Madikeri,12,7-Aug-26,
Mahad,58,7-Aug-26,
Maihar,28,7-Aug-26,
Malegaon,67,7-Aug-26,
Mandideep,95,7-Aug-26,
Mandi gobindgarh,118,7-Aug-26,
Manesar,42,7-Aug-26,
Mathura,39,7-Aug-26,
Meerut,50,7-Aug-26,
Mehsana,78,7-Aug-26,
Milupara,24,7-Aug-26,
Mira-bhayandar,38,7-Aug-26,
Modinagar,36,7-Aug-26,
Moradabad,34,7-Aug-26,
Motihari,69,7-Aug-26,
Mumbai,42,7-Aug-26,
Munger,64,7-Aug-26,
Muzaffarnagar,34,7-Aug-26,
Muzaffarpur,57,7-Aug-26,
Mysuru,51,7-Aug-26,
Nagaon,54,7-Aug-26,
Nagaur,103,7-Aug-26,
Nagpur,46,7-Aug-26,
Naharlagun,37,7-Aug-26,
Nanded,37,7-Aug-26,
Nandesari,64,7-Aug-26,
Nashik,45,7-Aug-26,
Navi mumbai,42,7-Aug-26,
Nellore,57,7-Aug-26,
Noida,51,7-Aug-26,
Pali,169,7-Aug-26,
Palwal,95,7-Aug-26,
Pampore,69,7-Aug-26,
Panchgaon,47,7-Aug-26,
Panchkula,35,7-Aug-26,
Panipat,81,7-Aug-26,
Parbhani,33,7-Aug-26,
Patiala,35,7-Aug-26,
Patna,78,7-Aug-26,
Pimpri-chinchwad,49,7-Aug-26,
Pithampur,119,7-Aug-26,
Pratapgarh,94,7-Aug-26,
Prayagraj,27,7-Aug-26,
Puducherry,35,7-Aug-26,
Pune,59,7-Aug-26,
Purnia,57,7-Aug-26,
Raebareli,72,7-Aug-26,
Raipur,50,7-Aug-26,
Rairangpur,24,7-Aug-26,
Rajamahendravaram,42,7-Aug-26,
Rajkot,77,7-Aug-26,
Rajsamand,103,7-Aug-26,
Ramanagara,45,7-Aug-26,
Ratlam,42,7-Aug-26,
Rishikesh,37,7-Aug-26,
Rohtak,30,7-Aug-26,
Rourkela,40,7-Aug-26,
Sagar,40,7-Aug-26,
Saharsa,42,7-Aug-26,
Samastipur,83,7-Aug-26,
Sangli,36,7-Aug-26,
Satara,66,7-Aug-26,
Satna,71,7-Aug-26,
Sawai madhopur,68,7-Aug-26,
Shamli,125,7-Aug-26,
Shillong,28,7-Aug-26,
Shivamogga,29,7-Aug-26,
Sikar,95,7-Aug-26,
Silchar,39,7-Aug-26,
Siliguri,125,7-Aug-26,
Singrauli,38,7-Aug-26,
Sirohi,89,7-Aug-26,
Sirsa,89,7-Aug-26,
Siwan,105,7-Aug-26,
Solapur,47,7-Aug-26,
Sonipat,132,7-Aug-26,
Sri ganganagar,89,7-Aug-26,
Srinagar,55,7-Aug-26,
Surat,61,7-Aug-26,
Tensa,77,7-Aug-26,
Thane,49,7-Aug-26,
Thiruvananthapuram,43,7-Aug-26,
Thoothukudi,67,7-Aug-26,
Thrissur,46,7-Aug-26,
Tirumala,43,7-Aug-26,
Tirupati,61,7-Aug-26,
Tonk,125,7-Aug-26,
Tumakuru,64,7-Aug-26,
Tumidih,36,7-Aug-26,
Udaipur,118,7-Aug-26,
Ujjain,73,7-Aug-26,
Ulhasnagar,49,7-Aug-26,
Vadodara,87,7-Aug-26,
Vapi,46,7-Aug-26,
Varanasi,54,7-Aug-26,
Vatva,113,7-Aug-26,
Vijayawada,70,7-Aug-26,
Virar,37,7-Aug-26,
Visakhapatnam,68,7-Aug-26,
Vrindavan,32,7-Aug-26,
Yadgir,38,7-Aug-26,
Agartala,69,6-Aug-26,
Agra,55,6-Aug-26,
Ahmedabad,85,6-Aug-26,
Ahmednagar,47,6-Aug-26,
Ajmer,84,6-Aug-26,
Akola,36,6-Aug-26,
Alwar,89,6-Aug-26,
Amaravati,67,6-Aug-26,
Ambala,62,6-Aug-26,
Ambernath,71,6-Aug-26,
Amravati,37,6-Aug-26,
Amritsar,75,6-Aug-26,
Angul,76,6-Aug-26,
Ankleshwar,74,6-Aug-26,
Asansol,56,6-Aug-26,
Aurangabad (Maharashtra),53,6-Aug-26,
Baddi,104,6-Aug-26,
Badlapur,44,6-Aug-26,
Bagalkot,51,6-Aug-26,
Bahadurgarh,49,6-Aug-26,
Balasore,56,6-Aug-26,
Ballabgarh,75,6-Aug-26,
Banswara,58,6-Aug-26,
Baran,55,6-Aug-26,
Bareilly,40,6-Aug-26,
Baripada,48,6-Aug-26,
Barmer,90,6-Aug-26,
Barrackpore,47,6-Aug-26,
Beed,42,6-Aug-26,
Begusarai,32,6-Aug-26,
Belapur,32,6-Aug-26,
Bengaluru,61,6-Aug-26,
Bhagalpur,121,6-Aug-26,
Bharatpur,35,6-Aug-26,
Bhavnagar,67,6-Aug-26,
Bhilai,29,6-Aug-26,
Bhilwara,87,6-Aug-26,
Bhiwadi,74,6-Aug-26,
Bhiwandi,55,6-Aug-26,
Bhiwani,159,6-Aug-26,
Bhopal,58,6-Aug-26,
Bhubaneswar,54,6-Aug-26,
Bikaner,99,6-Aug-26,
Bilaspur,30,6-Aug-26,
Bileipada,53,6-Aug-26,
Boisar,54,6-Aug-26,
Brajrajnagar,49,6-Aug-26,
Bulandshahr,41,6-Aug-26,
Bundi,77,6-Aug-26,
Byrnihat (Assam),95,6-Aug-26,
Byrnihat (Meghalaya),94,6-Aug-26,
Chamarajanagar,44,6-Aug-26,
Chandigarh,38,6-Aug-26,
Chandrapur,45,6-Aug-26,
Charkhi dadri,97,6-Aug-26,
Chennai,80,6-Aug-26,
Chhal,43,6-Aug-26,
Chhapra,100,6-Aug-26,
Chikkaballapur,30,6-Aug-26,
Chikkamagaluru,29,6-Aug-26,
Chittoor,65,6-Aug-26,
Chittorgarh,67,6-Aug-26,
Churu,91,6-Aug-26,
Coimbatore,26,6-Aug-26,
Cuddalore,23,6-Aug-26,
Cuttack,47,6-Aug-26,
Damoh,50,6-Aug-26,
Dausa,70,6-Aug-26,
Delhi,74,6-Aug-26,
Dewas,96,6-Aug-26,
Dharuhera,82,6-Aug-26,
Dharwad,66,6-Aug-26,
Dholpur,32,6-Aug-26,
Dhule,58,6-Aug-26,
Dombivli,34,6-Aug-26,
Dungarpur,76,6-Aug-26,
Durgapur,46,6-Aug-26,
Eloor,67,6-Aug-26,
Eluru,49,6-Aug-26,
Faridabad,113,6-Aug-26,
Fatehabad,63,6-Aug-26,
Fatehpur sikri,29,6-Aug-26,
Firozabad,53,6-Aug-26,
Gadag,39,6-Aug-26,
Gandhinagar,89,6-Aug-26,
Gaya,89,6-Aug-26,
Ghaziabad,82,6-Aug-26,
Gorakhpur,55,6-Aug-26,
Greater noida,97,6-Aug-26,
Gummidipoondi,119,6-Aug-26,
Guntur,61,6-Aug-26,
Gurugram,90,6-Aug-26,
Gwalior,51,6-Aug-26,
Hajipur,35,6-Aug-26,
Hanumangarh,65,6-Aug-26,
Hapur,46,6-Aug-26,
Hingoli,93,6-Aug-26,
Howrah,66,6-Aug-26,
Hyderabad,45,6-Aug-26,
Indore,54,6-Aug-26,
Jabalpur,51,6-Aug-26,
Jaipur,92,6-Aug-26,
Jaisalmer,120,6-Aug-26,
Jalandhar,71,6-Aug-26,
Jalgaon,36,6-Aug-26,
Jalna,52,6-Aug-26,
Jalore,85,6-Aug-26,
Jhalawar,61,6-Aug-26,
Jhansi,76,6-Aug-26,
Jhunjhunu,77,6-Aug-26,
Jind,56,6-Aug-26,
Jodhpur,77,6-Aug-26,
Jorapokhar,64,6-Aug-26,
Kaithal,103,6-Aug-26,
Kakinada,52,6-Aug-26,
Kalaburagi,41,6-Aug-26,
Kalyan,68,6-Aug-26,
Kannur,70,6-Aug-26,
Kanpur,51,6-Aug-26,
Karnal,52,6-Aug-26,
Karwar,47,6-Aug-26,
Katni,79,6-Aug-26,
Keonjhar,39,6-Aug-26,
Khairthal,72,6-Aug-26,
Khanna,65,6-Aug-26,
Khora,89,6-Aug-26,
Khurja,54,6-Aug-26,
Kishanganj,51,6-Aug-26,
Kohima,54,6-Aug-26,
Kolhapur,34,6-Aug-26,
Kolkata,60,6-Aug-26,
Korba,29,6-Aug-26,
Kota,81,6-Aug-26,
Kunjemura,39,6-Aug-26,
Kurnool,28,6-Aug-26,
Kurukshetra,49,6-Aug-26,
Latur,36,6-Aug-26,
Lucknow,54,6-Aug-26,
Ludhiana,70,6-Aug-26,
Machilipatnam,69,6-Aug-26,
Madikeri,14,6-Aug-26,
Madurai,44,6-Aug-26,
Mahad,35,6-Aug-26,
Maihar,28,6-Aug-26,
Malegaon,59,6-Aug-26,
Mandideep,76,6-Aug-26,
Mandi gobindgarh,118,6-Aug-26,
Manesar,42,6-Aug-26,
Mangalore,49,6-Aug-26,
Manguraha,73,6-Aug-26,
Mathura,32,6-Aug-26,
Meerut,53,6-Aug-26,
Mehsana,85,6-Aug-26,
Mira-bhayandar,36,6-Aug-26,
Moradabad,26,6-Aug-26,
Mumbai,46,6-Aug-26,
Munger,48,6-Aug-26,
Muzaffarnagar,51,6-Aug-26,
Muzaffarpur,33,6-Aug-26,
Mysuru,54,6-Aug-26,
Nagaon,54,6-Aug-26,
Nagaur,83,6-Aug-26,
Nagpur,43,6-Aug-26,
Naharlagun,28,6-Aug-26,
Nalbari,71,6-Aug-26,
Nanded,35,6-Aug-26,
Nandesari,62,6-Aug-26,
Narnaul,77,6-Aug-26,
Nashik,34,6-Aug-26,
Navi mumbai,44,6-Aug-26,
Nellore,60,6-Aug-26,
Noida,76,6-Aug-26,
Pali,135,6-Aug-26,
Pampore,82,6-Aug-26,
Panchgaon,48,6-Aug-26,
Panchkula,44,6-Aug-26,
Panipat,96,6-Aug-26,
Parbhani,34,6-Aug-26,
Patiala,47,6-Aug-26,
Patna,49,6-Aug-26,
Pimpri-chinchwad,50,6-Aug-26,
Pithampur,107,6-Aug-26,
Pratapgarh,86,6-Aug-26,
Prayagraj,79,6-Aug-26,
Puducherry,47,6-Aug-26,
Pune,45,6-Aug-26,
Purnia,56,6-Aug-26,
Raebareli,72,6-Aug-26,
Raipur,41,6-Aug-26,
Rairangpur,24,6-Aug-26,
Rajamahendravaram,44,6-Aug-26,
Rajkot,83,6-Aug-26,
Rajsamand,83,6-Aug-26,
Ramanagara,42,6-Aug-26,
Ratlam,35,6-Aug-26,
Rishikesh,37,6-Aug-26,
Rohtak,38,6-Aug-26,
Rourkela,50,6-Aug-26,
Rupnagar,54,6-Aug-26,
Sagar,40,6-Aug-26,
Saharsa,40,6-Aug-26,
Samastipur,76,6-Aug-26,
Sangli,37,6-Aug-26,
Satara,51,6-Aug-26,
Satna,70,6-Aug-26,
Sawai madhopur,67,6-Aug-26,
Shamli,85,6-Aug-26,
Shillong,28,6-Aug-26,
Shivamogga,37,6-Aug-26,
Sikar,44,6-Aug-26,
Silchar,40,6-Aug-26,
Siliguri,122,6-Aug-26,
Sirohi,79,6-Aug-26,
Sirsa,80,6-Aug-26,
Siwan,105,6-Aug-26,
Solapur,45,6-Aug-26,
Sonipat,134,6-Aug-26,
Sri ganganagar,78,6-Aug-26,
Srinagar,58,6-Aug-26,
Surat,73,6-Aug-26,
Talcher,75,6-Aug-26,
Thane,45,6-Aug-26,
Thiruvananthapuram,47,6-Aug-26,
Thoothukudi,67,6-Aug-26,
Thrissur,47,6-Aug-26,
Tirumala,42,6-Aug-26,
Tirupati,70,6-Aug-26,
Tonk,102,6-Aug-26,
Tumakuru,65,6-Aug-26,
Tumidih,32,6-Aug-26,
Udaipur,99,6-Aug-26,
Ujjain,51,6-Aug-26,
Ulhasnagar,38,6-Aug-26,
Vadodara,86,6-Aug-26,
Vapi,33,6-Aug-26,
Varanasi,40,6-Aug-26,
Vatva,117,6-Aug-26,
Vijayapura,43,6-Aug-26,
Vijayawada,61,6-Aug-26,
Virar,35,6-Aug-26,
Visakhapatnam,99,6-Aug-26,
Vrindavan,34,6-Aug-26,
Yamuna nagar,76,6-Aug-26,
Agartala,61,5-Aug-26,
Agra,63,5-Aug-26,
Ahmedabad,94,5-Aug-26,
Ahmednagar,54,5-Aug-26,
Aizawl,14,5-Aug-26,
Ajmer,88,5-Aug-26,
Akola,51,5-Aug-26,
Alwar,101,5-Aug-26,
Amaravati,79,5-Aug-26,
Ambala,74,5-Aug-26,
Amravati,46,5-Aug-26,
Amritsar,85,5-Aug-26,
Angul,62,5-Aug-26,
Ankleshwar,74,5-Aug-26,
Araria,47,5-Aug-26,
Asansol,58,5-Aug-26,
Aurangabad (Maharashtra),58,5-Aug-26,
Baddi,115,5-Aug-26,
